barcode,product_name,brand,generic_ingredient_name,categories,ingredients_text,allergens,nutriscore_grade,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,protein_100g,salt_100g,fiber_100g,nutrition_score
8715700407760,Tomato Ketchup BIO,Heinz,tomato ketchup bio,Ketchup,"Tomates (180 g pour 100 g de Ketchup), sucre, vinaigre, sel, épices (contient céleri), poudre d'oignon, poudre d'ail,",celery,d,112.0,0.1,0.1,25.3,24.8,1.4,1.7,,0.6000000000000001
6111251753912,611251753912,sos,tomato sauce,Tomato sauces,"PROTEGE Tetra Pak CE QUI EST BON olla المكونات : لب طماطم (160غ لإنتاج 100غ من المنتج) ، زيت عباد الشمس، سكر ، نشا الذرة معدل، ملح، نكهة الخضر. 7% من مواد جافة 

Ingrédients: Purée de tomate (160 g pour produire 100 g de produit), huile de tournesol, sucre, amidon de mais modifié, sel, arôme de légumes. 7% de matières sèches. 

Ingredientes: Puré de tomate (160 g para elaborar 100 g de producto), aceite de girasol, azúcar, almidón modificado de maíz, sal, aroma de verduras. 7% de materia seca. V",,c,73.0,3.3,0.4,8.7,2.3,1.3,0.83,1.4,1.0
6111251753899,Olla,Olla,tomato sauce,Tomato sauces,"Puré de tomate, aceite de girasol, azúcar, almidón modificado de maiz, sal, aroma de verduras.",,c,73.0,3.3,0.3,8.7,2.3,1.3,2.25,1.3,0.8
87157215,Tomato Ketchup,Heinz,tomato ketchup,Tomato Ketchup,"Tomates, vinaigre, sucre, sel, extraits d'épices et d'herbes, céleri, épice.",celery,d,102.0,0.1,,23.2,22.8,1.2,1.8,,0.6000000000000001
8076809513722,Basilico,Barilla,tomato sauce,"Cooking Sauces, Tomato sauces with basil","Pulpe de tomates 72%, concentré de tomates 14%, oignons, huile de tournesol, basilic 2%, sucre, sel, arôme naturel.",,a,64.0,2.6,0.3,7.6,5.9,1.6,0.9,1.9,1.0
8715700423913,Tomato ketchup,Heinz,tomato ketchup,Tomato Ketchup,"Tomates (174 g pour 100 g de Tomato Ketchup), vinaigre d'alcool, sucre, sel, extraits d'épices et d'herbes (céleri), édulcorant (glycosides de stéviol), épice.",celery,c,64.0,0.1,,12.0,11.0,1.4,0.9,,1.0
3017624010701,Nutella,Ferrero,nutella,"Cocoa and hazelnuts spreads, de:Other","sugar, palm oil, hazelnuts, skimmed milk powder, fat reduced cocoa, emulsifier, vanillin.",nuts,e,539.0,30.9,10.6,57.5,56.3,6.3,0.1075,,0.6000000000000001
5000159484695,Twix glacé,Twix,twix glace,"ice creams, Frozen bars","Sucre, sirop de glucose, _lait_ écrémé, crème légère (_lait_), eau, beurre de cacao, matière grasse de noix de coco, _lait_ écrémé concentré sucré, pâte de cacao, farine de _blé_, matière grasse de palme, _lait_ écrémé en poudre, _lactose_, matière grasse du _lait_, huile de palmiste, petit-_lait_ en poudre, cacao maigre, beurre (_lait_), émulsifiants (lécithine de _soja_, E471, tristéarate de sorbitane), _lait_ entier en poudre, stabilisants (E407, E410, E412), arômes naturels (_lait_), sel, co",gluten milk soybeans,e,280.742459396752,14.6171693735499,9.04872389791183,34.8027842227378,25.5220417633411,2.78422273781903,0.255220417633411,,0.6000000000000001
8000500310427,Biscuits NUTELLA Biscuits Noisettes et Cacao x22 - 304g,Nutella biscuits,biscuits nutella biscuits noisettes et cacao x22 - 304g,"Biscuits/Cookies (Shelf Stable), fr:Biscoitos recheados","Pâte à tartiner aux NOISETTES et au cacao 40% (sucre, huile de palme, NOISETTES 13%**, LAIT écrémé en poudre 8,7%**, cacao maigre 7,4%**, émulsifiants : lécithines [SOJA]; vanilline), farine de FROMENT 32,5%, graisses végétales (palme, palmiste), sucre de canne (contient BLE) 8,5%, LACTOSE, son de BLE, LAIT en poudre, miel, poudres à lever (diphosphate disodique, carbonate acide de sodium, carbonate acide d'ammonium), farine d'ORGE malté, cacao maigre en poudre, sel, extrait en poudre de malt d'",gluten milk nuts soybeans,e,515.0,24.8,11.5,64.0,35.8,7.9,0.559,,0.6000000000000001
7622210449283,Prince Goût Chocolat au blé complet,Mondelez,prince gout chocolat au ble complet,"Breakfasts, Sandwich biscuits","Céréale 50 % (Farine de blé 34,8 %, farine de blé complet 15,2 %), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5 %, sirop de glucose, amidon de blé, poudres à lever (carbonates d'ammonium, carbonates de sodium), émulsifiant (lécithines de soja), sel, lait écrémé en poudre, perméat de lactosérum (de lait), arômes. Peut contenir œuf.",eggs gluten milk soybeans,e,467.0,17.0,5.6,69.0,32.0,6.3,0.49,4.0,0.7000000000000001
